Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-05-19,AU,AU,Australia,,,7068,99,-28,137,24982688
2020-05-18,CZ,CZ,Czech Republic,,,8586,297,50,16,10629928
2020-05-19,DK,DK,Denmark,,,11044,551,56,10,5793636
2020-06-03,FR_ARA,FR,France,ARA,Auvergne-Rhône-Alpes,17182,1719,45.7402,4.8195,7948287
2020-06-03,FR_BFC,FR,France,BFC,Bourgogne-Franche-Comté,7302,1025,47.234528,6.0305,2811423
2020-06-03,FR_BRE,FR,France,BRE,Brittany,8630,252,48,-3,3318904
2020-06-03,FR_COR,FR,France,COR,Corsica,594,58,42.15,9.0833333,334938
2020-06-03,FR_CVL,FR,France,CVL,Centre-Val de Loire,11000,523,47.5,1.75,2576252
2020-06-03,FR_GES,FR,France,GES,Grand Est,31806,3577,48.5989,7.7599,5549586
2020-06-03,FR_GF,FR,France,GF,French Guiana,162,1,,,
2020-06-03,FR_GUA,FR,France,GUA,Guadeloupe,20,21,16.25,-61.583333,390253
2020-06-03,FR_HDF,FR,France,HDF,Hauts-de-France,28527,1794,49.920557,2.7029777,6003815
2020-06-03,FR_IDF,FR,France,IDF,Île-de-France,68454,7309,48.8522,2.3176,12174880
2020-06-03,FR_LRE,FR,France,LRE,La Réunion,60,1,-21.114444,55.5325,853659
2020-06-03,FR_MAY,FR,France,MAY,Mayotte,666,21,-12.843056,45.138333,256518
2020-06-03,FR_MQ,FR,France,MQ,Martinique,18,14,,,
2020-06-03,FR_NAQ,FR,France,NAQ,Nouvelle-Aquitaine,10685,422,44.8366,-0.5888,5956978
2020-06-03,FR_NOR,FR,France,NOR,Normandy,5051,427,49.186389,-0.35277778,3330478
2020-06-03,FR_OCC,FR,France,OCC,Occitanie,11809,515,43.648785,2.3435684,5845102
2020-06-03,FR_PAC,FR,France,PAC,Provence-Alpes-Côte d'Azur,15612,917,44,6,5030890
2020-06-03,FR_PDL,FR,France,PDL,Pays de la Loire,12049,449,47.466667,-0.83333333,3757600
2020-06-03,GB_SCT,GB,United Kingdom,SCT,Scotland,15504,2386,57,-5,5313600
2020-05-17,IE,IE,Ireland,,,24112,1543,53.333333,-8,4867309
2020-06-03,IT,IT,Italy,,,233836,33601,42.5,12.5,60421760
2020-06-03,IT_21,IT,Italy,21,Piedmont,30734,3898,45.25,7.9166667,4356406
2020-06-03,IT_23,IT,Italy,23,Aosta Valley,1187,143,45.716667,7.3666667,125666
2020-06-03,IT_25,IT,Italy,25,Lombardy,89442,16172,45.65,9.95,10067494
2020-06-03,IT_34,IT,Italy,34,Veneto,19164,1921,45.733333,11.85,4926818
2020-06-03,IT_36,IT,Italy,36,Friuli Venezia Giulia,3276,336,46.1,13.116667,1215220
2020-06-03,IT_42,IT,Italy,42,Liguria,9751,1473,44.45,8.7666667,1550640
2020-06-03,IT_45,IT,Italy,45,Emilia-Romagna,27842,4147,44.75,11,4459477
2020-06-03,IT_52,IT,Italy,52,Tuscany,10121,1055,43.35,11.016667,3745983
2020-06-03,IT_55,IT,Italy,55,Umbria,1431,76,42.983333,12.566667,882015
2020-06-03,IT_57,IT,Italy,57,Marche,6735,987,43.316667,13,1522608
2020-06-03,IT_62,IT,Italy,62,Lazio,7753,747,41.9,12.716667,5879082
2020-06-03,IT_65,IT,Italy,65,Abruzzo,3252,414,42.216667,13.833333,1308451
2020-06-03,IT_67,IT,Italy,67,Molise,436,22,41.6997,14.6111,304285
2020-06-03,IT_72,IT,Italy,72,Campania,4821,415,40.75,14.783333,5869965
2020-06-03,IT_75,IT,Italy,75,Apulia,4499,511,41.008611,16.512778,4029053
2020-06-03,IT_77,IT,Italy,77,Basilicata,399,27,40.5,16.5,562869
2020-06-03,IT_78,IT,Italy,78,Calabria,1158,97,39,16.5,1947131
2020-06-03,IT_82,IT,Italy,82,Sicily,3447,275,37.599958,14.015378,4983478
2020-06-03,IT_88,IT,Italy,88,Sardinia,1357,131,40.05,9.0833333,1639591
2020-06-03,IT_BZ,IT,Italy,BZ,South Tyrol,2598,291,46.5,11.333333,531178
2020-06-03,IT_TN,IT,Italy,TN,Trentino-Alto Adige,4433,463,46.066423,11.12576,541098
2020-05-28,LU,LU,Luxembourg,,,4008,110,49.77,6.13,607950
2020-06-02,MX,MX,Mexico,,,97326,10637,23,-102,126190788
2020-06-02,MX_AGU,MX,Mexico,AGU,Aguascalientes,900,35,22.021667,-102.35639,1312544
2020-06-02,MX_BCN,MX,Mexico,BCN,Baja California,5313,879,29.95,-115.11667,3315766
2020-06-02,MX_BCS,MX,Mexico,BCS,Baja California Sur,643,35,25.846111,-111.97278,39294
2020-06-02,MX_CAM,MX,Mexico,CAM,Campeche,712,92,18.836389,-90.403333,899931
2020-06-02,MX_CHH,MX,Mexico,CHH,Chihuahua,1697,340,28.814167,-106.43944,3556574
2020-06-02,MX_CHP,MX,Mexico,CHP,Chiapas,1957,146,16.41,-92.408611,5217908
2020-06-02,MX_CMX,MX,Mexico,CMX,Mexico City,31850,2850,19.419444,-99.145556,8918653
2020-06-02,MX_COA,MX,Mexico,COA,Coahuila,1178,81,27.302222,-102.04472,2954915
2020-06-02,MX_COL,MX,Mexico,COL,Colima,154,26,19.096667,-103.96083,650555
2020-06-02,MX_DUR,MX,Mexico,DUR,Durango,397,42,24.934722,-104.91194,1754754
2020-06-02,MX_GRO,MX,Mexico,GRO,Guerrero,1981,286,17.613056,-99.95,3533251
2020-06-03,MX_GUA,MX,Mexico,GUA,Guanajuato,1900,21,21.018889,-101.26278,1081651
2020-06-02,MX_HID,MX,Mexico,HID,Hidalgo,1876,329,20.478333,-98.863611,2858359
2020-06-02,MX_JAL,MX,Mexico,JAL,Jalisco,2052,167,20.566667,-103.67639,7844830
2020-06-02,MX_MEX,MX,Mexico,MEX,State of Mexico,10454,1205,19.354167,-99.630833,16187608
2020-06-02,MX_MIC,MX,Mexico,MIC,Michoacán,2064,175,19.168611,-101.89972,4584471
2020-06-02,MX_MOR,MX,Mexico,MOR,Morelos,1380,273,18.7475,-99.070278,1777227
2020-06-02,MX_NAY,MX,Mexico,NAY,Nayarit,610,68,21.743889,-105.22833,1223797
2020-06-02,MX_NLE,MX,Mexico,NLE,Nuevo León,1530,99,25.566667,-99.970556,5189970
2020-06-02,MX_OAX,MX,Mexico,OAX,Oaxaca,1599,166,16.898056,-96.414167,3967889
2020-06-02,MX_PUE,MX,Mexico,PUE,Puebla,3280,392,19.003611,-97.888333,6168883
2020-06-02,MX_QUE,MX,Mexico,QUE,Querétaro,1026,114,20.591,-100.391,2038372
2020-06-02,MX_ROO,MX,Mexico,ROO,Quintana Roo,1945,363,19.6,-87.916667,1325578
2020-06-02,MX_SIN,MX,Mexico,SIN,Sinaloa,3713,548,25.002778,-107.50278,2966700
2020-06-02,MX_SLP,MX,Mexico,SLP,San Luis Potosí,989,57,22.603333,-100.42972,2717820
2020-06-02,MX_SON,MX,Mexico,SON,Sonora,2229,132,29.646111,-110.86889,2850330
2020-06-02,MX_TAB,MX,Mexico,TAB,Tabasco,4630,562,17.972222,-92.588889,2395272
2020-06-02,MX_TAM,MX,Mexico,TAM,Tamaulipas,1748,116,24.287222,-98.563333,3441698
2020-06-02,MX_TLA,MX,Mexico,TLA,Tlaxcala,1103,151,19.428889,-98.160833,1272847
2020-06-02,MX_VER,MX,Mexico,VER,Veracruz,4195,581,19.434722,-96.383056,8112505
2020-06-02,MX_YUC,MX,Mexico,YUC,Yucatán,1915,173,20.833333,-89,2097175
2020-06-02,MX_ZAC,MX,Mexico,ZAC,Zacatecas,306,38,23.292778,-102.70056,1690868
2020-06-03,NL,NL,Netherlands,,,46266,5960,52.316667,5.55,17231624
2020-06-03,NL_DR,NL,Netherlands,DR,Drenthe,513,40,52.9167,6.5833,491792
2020-06-03,NL_FL,NL,Netherlands,FL,Flevoland,930,89,52.533333,5.6666667,399893
2020-06-03,NL_FR,NL,Netherlands,FR,Friesland,608,64,53.166667,5.669444,646317
2020-06-03,NL_GE,NL,Netherlands,GE,Gelderland,6003,670,52.0833,5.9167,2019692
2020-06-03,NL_GR,NL,Netherlands,GR,Groningen,349,17,53.258056,6.7377778,582728
2020-06-03,NL_LI,NL,Netherlands,LI,Limburg,4703,736,51.21,5.9361111,1120006
2020-06-03,NL_NB,NL,Netherlands,NB,North Brabant,9048,1511,51.666667,5,2256848
2020-06-03,NL_NH,NL,Netherlands,NH,North Holland,6718,802,52.666667,4.8333333,2724300
2020-06-03,NL_OV,NL,Netherlands,OV,Overijssel,2982,306,52.5,6.5,1142360
2020-06-03,NL_UT,NL,Netherlands,UT,Utrecht,3658,414,52.103333,5.1791667,1253672
2020-06-03,NL_ZE,NL,Netherlands,ZE,Zeeland,699,66,51.566667,3.75,380726
2020-06-03,NL_ZH,NL,Netherlands,ZH,South Holland,10055,1245,52,4.6666667,3577032
2020-06-03,PT,PT,Portugal,,,33261,1447,38.7,-9.1833333,10283822
2020-06-02,US_AK,US,United States of America,AK,Alaska,497,8,64,-150,738432
2020-06-02,US_AL,US,United States of America,AL,Alabama,18771,653,32.7,-86.7,4858979
2020-06-02,US_AR,US,United States of America,AR,Arkansas,7818,136,34.8,-92.2,2978204
2020-06-02,US_AZ,US,United States of America,AZ,Arizona,21250,943,34.286667,-111.65694,6828065
2020-06-02,US_CO,US,United States of America,CO,Colorado,26774,1474,39,-105.5,5456574
2020-06-02,US_CT,US,United States of America,CT,Connecticut,42979,3972,41.6,-72.7,3590886
2020-06-02,US_FL,US,United States of America,FL,Florida,57439,2529,28.133333,-81.631667,20271272
2020-06-02,US_GA,US,United States of America,GA,Georgia,46063,2070,33,-83.5,10214860
2020-06-02,US_HI,US,United States of America,HI,Hawaii,643,17,21.311389,-157.79639,1431603
2020-06-02,US_IA,US,United States of America,IA,Iowa,20017,564,42,-93,3123899
2020-06-02,US_ID,US,United States of America,ID,Idaho,2935,83,45,-114,1654930
2020-06-02,US_IN,US,United States of America,IN,Indiana,36129,2197,39.933333,-86.216667,6619680
2020-06-02,US_KS,US,United States of America,KS,Kansas,10143,227,38.5,-98,2911641
2020-06-02,US_KY,US,United States of America,KY,Kentucky,10287,451,37.5,-85,4425092
2020-06-02,US_MA,US,United States of America,MA,Massachusetts,101163,7085,42.3,-71.8,6794422
2020-06-02,US_MD,US,United States of America,MD,Maryland,54831,2597,39,-76.7,6006401
2020-06-02,US_ME,US,United States of America,ME,Maine,2377,94,45.5,-69,1329328
2020-06-02,US_MN,US,United States of America,MN,Minnesota,25518,1082,46,-94,5489594
2020-06-02,US_MS,US,United States of America,MS,Mississippi,16020,767,33,-90,2992333
2020-06-02,US_MT,US,United States of America,MT,Montana,523,17,47,-110,1032949
2020-06-02,US_ND,US,United States of America,ND,North Dakota,2649,68,47.5,-100.5,756927
2020-06-02,US_NH,US,United States of America,NH,New Hampshire,4749,256,44,-71.5,1330608
2020-06-02,US_NJ,US,United States of America,NJ,New Jersey,161545,11770,40,-74.5,8944469
2020-06-02,US_NM,US,United States of America,NM,New Mexico,8024,367,34,-106,2085109
2020-06-02,US_NY,US,United States of America,NY,New York,377881,29847,43,-75,19795791
2020-06-02,US_OH,US,United States of America,OH,Ohio,36350,2258,40.5,-82.5,11613423
2020-06-02,US_OK,US,United States of America,OK,Oklahoma,6692,339,35.5,-98,3911338
2020-06-02,US_OR,US,United States of America,OR,Oregon,4335,157,43.935833,-120.575,454000
2020-06-02,US_PA,US,United States of America,PA,Pennsylvania,77315,5670,41,-77.5,12802503
2020-06-02,US_RI,US,United States of America,RI,Rhode Island,15112,732,41.7,-71.5,1056298
2020-06-02,US_SC,US,United States of America,SC,South Carolina,12415,501,34,-81,4896146
2020-06-02,US_SD,US,United States of America,SD,South Dakota,5067,62,44.5,-100,858469
2020-06-02,US_TN,US,United States of America,TN,Tennessee,24498,378,36,-86,6600299
2020-06-02,US_UT,US,United States of America,UT,Utah,10237,113,39.5,-111.5,2995919
2020-06-02,US_VA,US,United States of America,VA,Virginia,46239,1407,37.5,-79,8382993
2020-06-02,US_VT,US,United States of America,VT,Vermont,988,55,44,-72.7,626042
2020-06-02,US_WA,US,United States of America,WA,Washington,23336,1139,47.5,-120.5,7170351
2020-06-02,US_WI,US,United States of America,WI,Wisconsin,18949,610,44.5,-89.5,30945
2020-06-02,US_WV,US,United States of America,WV,West Virginia,2056,78,39,-80.5,1844128
2020-06-02,US_WY,US,United States of America,WY,Wyoming,912,17,43,-107.5,92531
